Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
AI Researcher,Education,Large,New York,Low,High,Sales,93594.36906196899,No,Growth
HR Manager,Telecommunications,Small,Sydney,Medium,Low,Communication,58952.450768298775,No,Stable
Data Scientist,Manufacturing,Small,New York,High,Medium,Cybersecurity,105779.26710468795,No,Decline
AI Researcher,Education,Medium,Paris,Medium,High,Project Management,80562.80811133073,No,Stable
HR Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,82049.4035808908,No,Decline
HR Manager,Manufacturing,Large,New York,Low,Medium,Python,95957.8983295738,Yes,Stable
Data Scientist,Retail,Large,Sydney,High,Medium,UX/UI Design,101325.61759434741,Yes,Decline
Sales Manager,Finance,Large,Paris,Low,Medium,Python,93002.69268012437,No,Decline
UX Designer,Finance,Medium,Dubai,Low,High,Project Management,102714.59072314618,No,Stable
Cybersecurity Analyst,Retail,Medium,San Francisco,High,High,Cybersecurity,75862.85731879607,Yes,Growth
UX Designer,Entertainment,Small,San Francisco,High,High,Project Management,89145.92410553433,No,Decline
Operations Manager,Healthcare,Small,Berlin,Medium,Low,JavaScript,106981.70900901742,No,Growth
Cybersecurity Analyst,Entertainment,Small,London,High,High,Cybersecurity,125455.82352873433,Yes,Stable
Operations Manager,Technology,Small,Berlin,Medium,Medium,Python,132528.71177946418,Yes,Growth
AI Researcher,Technology,Medium,Toronto,Medium,High,Sales,98659.53365455463,Yes,Growth
Software Engineer,Manufacturing,Large,New York,Medium,Medium,Python,106800.19653491215,No,Growth
Data Scientist,Education,Medium,Sydney,High,Low,Python,129631.58329630381,No,Growth
Cybersecurity Analyst,Education,Small,London,Low,Medium,Cybersecurity,76583.27926533011,Yes,Growth
Cybersecurity Analyst,Finance,Medium,Paris,Medium,Medium,JavaScript,102593.99705425167,Yes,Decline
AI Researcher,Transportation,Large,Toronto,Low,Medium,Python,105366.85898972292,No,Decline
Sales Manager,Entertainment,Large,Paris,Low,Low,Communication,118957.22872153489,Yes,Decline
HR Manager,Telecommunications,Medium,San Francisco,High,High,Marketing,67257.17238927555,No,Stable
AI Researcher,Energy,Medium,San Francisco,Low,High,Machine Learning,71211.88432398967,No,Growth
Product Manager,Education,Medium,Berlin,Low,Low,Machine Learning,90427.64422209412,Yes,Decline
HR Manager,Energy,Small,New York,High,Medium,Python,97554.55324643271,Yes,Stable
Data Scientist,Manufacturing,Medium,London,Medium,High,Communication,112457.27907467616,No,Decline
HR Manager,Energy,Medium,Singapore,Low,Low,Sales,100350.87551624542,Yes,Decline
Sales Manager,Telecommunications,Medium,Toronto,High,High,UX/UI Design,86971.73539779433,Yes,Growth
HR Manager,Retail,Large,Toronto,Low,Low,UX/UI Design,98329.22889512281,Yes,Stable
Data Scientist,Telecommunications,Large,Berlin,Low,Medium,Cybersecurity,96020.88952548904,Yes,Growth
Sales Manager,Energy,Small,San Francisco,Medium,High,Machine Learning,124900.32859975577,No,Growth
UX Designer,Telecommunications,Small,Berlin,Low,Low,Python,93313.17887137065,No,Decline
Cybersecurity Analyst,Healthcare,Large,Sydney,High,High,UX/UI Design,82338.33172894873,No,Growth
Cybersecurity Analyst,Manufacturing,Large,London,Low,High,Python,98992.18060143659,No,Stable
Operations Manager,Entertainment,Large,New York,Medium,High,Cybersecurity,93969.70638677065,Yes,Growth
UX Designer,Retail,Medium,Dubai,Medium,High,Machine Learning,58580.13288650656,Yes,Growth
UX Designer,Education,Medium,Tokyo,High,Low,Project Management,89686.95876755661,No,Growth
HR Manager,Technology,Large,Tokyo,Medium,Medium,Marketing,87985.23509187989,No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Low,Low,Marketing,79122.56268441367,Yes,Stable
Data Scientist,Technology,Medium,Sydney,Medium,Low,UX/UI Design,110711.66575245945,No,Decline
Marketing Specialist,Manufacturing,Small,London,High,Low,Marketing,74286.40806776009,No,Decline
Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,99112.37239049077,Yes,Decline
Sales Manager,Finance,Large,Tokyo,Medium,High,Python,87042.86000312539,No,Decline
Cybersecurity Analyst,Education,Medium,London,Medium,High,Cybersecurity,92153.90011293565,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,New York,High,High,Project Management,98235.72582091735,Yes,Stable
Marketing Specialist,Finance,Small,Paris,Medium,Medium,Cybersecurity,63848.51232217997,No,Growth
Cybersecurity Analyst,Manufacturing,Small,Sydney,Medium,High,Cybersecurity,93833.21783469566,Yes,Decline
HR Manager,Entertainment,Small,San Francisco,Low,Medium,Machine Learning,135778.94979426413,No,Decline
Product Manager,Healthcare,Large,London,High,High,Python,58864.73308242552,Yes,Stable
Software Engineer,Telecommunications,Large,New York,Medium,High,Communication,88847.84072568991,No,Stable
UX Designer,Energy,Large,Singapore,High,Low,Marketing,112464.7864964764,No,Growth
Operations Manager,Healthcare,Large,Dubai,Medium,Medium,Communication,96032.38495907193,No,Stable
Sales Manager,Manufacturing,Large,San Francisco,Medium,Low,Machine Learning,103759.33904232067,Yes,Growth
Product Manager,Transportation,Small,Dubai,Medium,Low,Cybersecurity,42486.67977814768,Yes,Decline
Marketing Specialist,Energy,Medium,Singapore,Low,Low,UX/UI Design,101964.987492599,No,Decline
UX Designer,Technology,Small,New York,Low,Medium,Marketing,74766.23587532803,Yes,Growth
Cybersecurity Analyst,Education,Large,Tokyo,Low,Medium,Marketing,96197.54569166293,No,Stable
Operations Manager,Technology,Small,Dubai,High,High,Python,89411.30538181018,No,Growth
Cybersecurity Analyst,Healthcare,Large,San Francisco,High,Low,JavaScript,135566.66058323265,Yes,Stable
Data Scientist,Technology,Large,Berlin,Low,High,Data Analysis,100933.9064753175,No,Decline
Data Scientist,Manufacturing,Small,Toronto,High,Low,Data Analysis,87747.52341474428,Yes,Stable
Operations Manager,Telecommunications,Large,London,Medium,Medium,Data Analysis,59806.144814928906,No,Growth
Operations Manager,Entertainment,Medium,Tokyo,Medium,Medium,JavaScript,92422.93803699793,Yes,Growth
Marketing Specialist,Education,Large,Dubai,Medium,Medium,Python,106464.57756693645,No,Decline
Operations Manager,Technology,Medium,Paris,Low,Low,JavaScript,88388.96216361554,No,Stable
HR Manager,Technology,Medium,London,High,Medium,Data Analysis,79886.87280125119,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Berlin,Low,Low,Machine Learning,78548.26672307363,No,Stable
Product Manager,Entertainment,Small,Singapore,High,High,Project Management,100702.82870910641,No,Decline
AI Researcher,Finance,Medium,Toronto,Medium,Low,Cybersecurity,105187.75878618314,Yes,Stable
Operations Manager,Technology,Small,New York,Low,High,JavaScript,117224.20230642238,No,Growth
Sales Manager,Manufacturing,Medium,Berlin,High,Low,Python,70100.00213579283,Yes,Stable
Data Scientist,Transportation,Large,Berlin,High,High,Python,100519.55116835234,No,Decline
HR Manager,Education,Large,Singapore,Medium,Medium,Communication,87565.92091164265,Yes,Stable
UX Designer,Technology,Medium,Sydney,Low,High,Project Management,88155.31590733438,No,Stable
AI Researcher,Manufacturing,Large,Singapore,Low,Medium,UX/UI Design,98036.51708068003,No,Growth
Product Manager,Manufacturing,Medium,Sydney,Low,Medium,Marketing,98153.12507249895,No,Stable
AI Researcher,Education,Large,Sydney,Medium,High,Data Analysis,100575.36211583146,Yes,Growth
Operations Manager,Finance,Small,Tokyo,Low,Low,UX/UI Design,68850.5761560838,Yes,Growth
Marketing Specialist,Manufacturing,Large,Tokyo,Medium,Low,Communication,75003.77185667082,Yes,Decline
Data Scientist,Transportation,Small,San Francisco,Medium,Low,Data Analysis,119717.36551035367,Yes,Growth
Data Scientist,Manufacturing,Large,Dubai,Medium,Low,Project Management,85588.5506503832,No,Growth
UX Designer,Manufacturing,Small,Dubai,High,Low,Communication,96120.28796035793,No,Decline
Marketing Specialist,Manufacturing,Large,New York,Low,Medium,Data Analysis,111093.32624086371,Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,Low,Project Management,99268.86144721638,Yes,Decline
Software Engineer,Telecommunications,Medium,Tokyo,Medium,Medium,Sales,100930.45261944078,Yes,Stable
HR Manager,Finance,Medium,San Francisco,Medium,Medium,UX/UI Design,107891.55358487513,No,Decline
Data Scientist,Technology,Small,San Francisco,Low,Medium,UX/UI Design,47666.72478206,Yes,Growth
Sales Manager,Manufacturing,Large,Sydney,Medium,High,Marketing,80200.99689678931,Yes,Decline
Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,99372.11592999184,No,Growth
AI Researcher,Technology,Large,New York,High,Medium,JavaScript,117752.88614115314,No,Stable
Data Scientist,Finance,Medium,Sydney,Medium,High,Sales,91321.91119311546,Yes,Decline
Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,73105.67076487809,No,Stable
Software Engineer,Technology,Medium,Dubai,Medium,Low,Data Analysis,73638.27900778996,Yes,Growth
Software Engineer,Technology,Large,Sydney,Low,Medium,Sales,107677.22406906149,No,Growth
Product Manager,Energy,Large,London,Low,Low,Project Management,85644.52835216226,Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Dubai,Medium,Medium,Cybersecurity,89855.99908419327,Yes,Decline
Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,102300.60387544638,Yes,Decline
Data Scientist,Transportation,Small,New York,Low,Low,Python,31969.52634612842,Yes,Growth
Data Scientist,Telecommunications,Medium,Singapore,Low,High,UX/UI Design,130007.35023016162,No,Stable
HR Manager,Telecommunications,Medium,Sydney,Low,Low,Project Management,75378.52329897878,No,Stable
Software Engineer,Healthcare,Small,Sydney,High,Low,Python,94838.72738947143,No,Decline
Sales Manager,Education,Medium,Berlin,High,Medium,Marketing,55906.05973007458,No,Decline
UX Designer,Education,Small,New York,Medium,Medium,Communication,81549.17779189924,Yes,Decline
Product Manager,Finance,Large,Paris,High,Medium,Machine Learning,114893.76092730193,Yes,Stable
Cybersecurity Analyst,Healthcare,Medium,Dubai,Medium,Medium,Machine Learning,51676.65640668242,No,Decline
Marketing Specialist,Technology,Medium,San Francisco,Medium,High,Python,112524.00174378282,No,Decline
Cybersecurity Analyst,Education,Small,New York,High,High,UX/UI Design,84526.07807535231,No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Medium,High,Marketing,99743.28880440384,No,Decline
Data Scientist,Entertainment,Medium,New York,High,Medium,Cybersecurity,103150.48826970221,No,Decline
Product Manager,Technology,Large,New York,Medium,Medium,UX/UI Design,98828.42998981851,Yes,Stable
AI Researcher,Transportation,Medium,Singapore,High,Medium,Sales,72700.98696738348,Yes,Stable
Sales Manager,Manufacturing,Large,New York,High,High,Machine Learning,82709.01706929953,Yes,Growth
Marketing Specialist,Manufacturing,Small,Berlin,Medium,Medium,Sales,60768.876454983685,No,Decline
Software Engineer,Healthcare,Medium,Paris,Low,Low,Data Analysis,99835.9266317616,No,Growth
Product Manager,Finance,Large,Sydney,Medium,Low,JavaScript,124041.10308031851,No,Stable
Product Manager,Transportation,Small,Toronto,High,Medium,Project Management,53511.18226647075,No,Growth
Data Scientist,Education,Medium,San Francisco,Low,Low,Marketing,74767.0818772393,Yes,Stable
Operations Manager,Healthcare,Small,Sydney,Medium,Low,UX/UI Design,86364.49448234134,Yes,Growth
Product Manager,Education,Medium,Toronto,Medium,High,Machine Learning,93466.82847427108,No,Growth
HR Manager,Healthcare,Small,Paris,Medium,Medium,Sales,107583.52602868853,Yes,Decline
Marketing Specialist,Healthcare,Small,Paris,Low,Medium,Communication,86956.00039284666,Yes,Growth
Marketing Specialist,Healthcare,Large,San Francisco,High,High,Data Analysis,83680.825471087,No,Decline
HR Manager,Finance,Small,San Francisco,Medium,Low,Project Management,112062.61412139481,No,Decline
UX Designer,Healthcare,Medium,Paris,Medium,Low,Project Management,103239.91134126611,No,Decline
HR Manager,Retail,Medium,Toronto,Medium,Medium,UX/UI Design,100779.55951402197,No,Decline
HR Manager,Entertainment,Large,New York,Medium,Low,Marketing,92250.31423176228,No,Growth
Marketing Specialist,Education,Medium,Dubai,Medium,High,Cybersecurity,109663.04421839718,No,Stable
Cybersecurity Analyst,Technology,Medium,London,High,High,Communication,76873.81217539468,Yes,Stable
Marketing Specialist,Energy,Medium,Sydney,High,Medium,UX/UI Design,74146.11435627844,Yes,Stable
Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,104922.01973738648,No,Growth
Data Scientist,Telecommunications,Small,Sydney,Low,High,JavaScript,57499.280615061834,Yes,Decline
AI Researcher,Finance,Medium,Singapore,High,Medium,Python,91843.59019272974,No,Stable
Cybersecurity Analyst,Technology,Large,Toronto,Low,High,Cybersecurity,83668.83295474976,No,Growth
Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,61884.90538694088,No,Decline
AI Researcher,Retail,Large,San Francisco,Medium,High,Data Analysis,71374.64840567471,No,Stable
Data Scientist,Telecommunications,Medium,Dubai,High,Low,Cybersecurity,87820.47815409301,Yes,Decline
Operations Manager,Energy,Medium,Dubai,Medium,Medium,Machine Learning,110679.26512998046,No,Stable
Operations Manager,Technology,Small,San Francisco,High,Medium,Marketing,76940.84017484378,Yes,Stable
Software Engineer,Telecommunications,Medium,Berlin,Medium,Medium,JavaScript,114267.62799809987,No,Stable
Cybersecurity Analyst,Technology,Small,Toronto,Medium,Low,Machine Learning,91263.58455113033,No,Decline
UX Designer,Retail,Medium,Berlin,Medium,Low,Cybersecurity,116207.69404339942,No,Growth
HR Manager,Energy,Medium,Berlin,Medium,Medium,Python,77910.16782439903,Yes,Decline
Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,Low,Python,89023.80823789263,No,Stable
UX Designer,Healthcare,Small,Paris,Medium,Medium,JavaScript,97369.6720667399,No,Decline
Operations Manager,Education,Small,Sydney,Low,Low,Project Management,86409.79074516977,No,Growth
Marketing Specialist,Manufacturing,Medium,Paris,Low,High,Communication,109060.48294290472,Yes,Decline
Data Scientist,Healthcare,Medium,London,Medium,High,Data Analysis,45848.72549419468,Yes,Growth
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,138448.1107757988,Yes,Growth
Data Scientist,Entertainment,Small,Paris,High,Low,Python,107155.49213990325,No,Decline
Sales Manager,Transportation,Medium,San Francisco,Medium,Low,Python,86529.36341929967,Yes,Stable
Sales Manager,Transportation,Medium,Sydney,Low,High,Sales,78953.56652845311,No,Growth
Cybersecurity Analyst,Education,Small,Toronto,Medium,High,Machine Learning,72671.58777102892,Yes,Decline
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,102912.30948339474,Yes,Growth
Operations Manager,Retail,Small,London,Medium,Low,Data Analysis,109899.63337584707,No,Stable
HR Manager,Energy,Large,Paris,Low,Low,JavaScript,86749.477437402,Yes,Decline
HR Manager,Retail,Medium,London,High,Low,Cybersecurity,112139.80825957005,No,Decline
HR Manager,Energy,Large,Toronto,High,Low,Sales,71854.79906477756,No,Decline
Marketing Specialist,Entertainment,Medium,Berlin,Low,Low,Python,68323.78300026328,Yes,Stable
AI Researcher,Finance,Small,Dubai,Medium,Medium,JavaScript,126266.82410491098,No,Growth
Product Manager,Finance,Small,Toronto,Low,Low,Python,101822.17227077085,No,Decline
AI Researcher,Healthcare,Small,Tokyo,Low,High,Data Analysis,117936.96403626655,Yes,Growth
Data Scientist,Telecommunications,Large,Toronto,Low,Medium,Machine Learning,72921.20583224614,Yes,Growth
AI Researcher,Finance,Medium,London,Medium,Low,Cybersecurity,71529.49216462541,No,Stable
Marketing Specialist,Finance,Small,San Francisco,Low,High,Cybersecurity,82827.81361084916,Yes,Decline
Data Scientist,Manufacturing,Small,Sydney,Medium,Medium,Project Management,73518.82316921977,No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Low,High,JavaScript,104107.30420456902,No,Decline
Marketing Specialist,Healthcare,Small,London,High,Low,Communication,74977.47886147109,Yes,Decline
Product Manager,Telecommunications,Medium,Sydney,Low,Low,Sales,66566.60283865419,Yes,Stable
AI Researcher,Education,Medium,Tokyo,Low,Low,Communication,92840.30824510465,Yes,Decline
Marketing Specialist,Manufacturing,Medium,Dubai,High,Low,Project Management,64200.276483495734,Yes,Decline
HR Manager,Education,Medium,Singapore,Medium,Medium,Data Analysis,54010.72137049221,No,Growth
Operations Manager,Technology,Medium,London,Medium,Medium,Sales,92665.14467722556,No,Stable
HR Manager,Manufacturing,Large,Paris,Low,High,Machine Learning,55015.5991397958,Yes,Decline
Operations Manager,Entertainment,Small,London,High,Low,Communication,105505.58792590846,Yes,Growth
Software Engineer,Telecommunications,Large,London,Medium,High,Machine Learning,62093.32547494408,No,Stable
Software Engineer,Healthcare,Small,Sydney,Low,Medium,Communication,45186.52427160505,No,Stable
Software Engineer,Technology,Large,New York,High,Low,Machine Learning,84124.06699718411,No,Growth
Product Manager,Telecommunications,Medium,Toronto,Medium,Low,Communication,92891.89006592969,No,Growth
HR Manager,Entertainment,Small,New York,Medium,Medium,Machine Learning,99829.50127363882,Yes,Growth
Operations Manager,Telecommunications,Small,Tokyo,High,Medium,Project Management,93440.31398031706,No,Growth
Marketing Specialist,Entertainment,Large,Paris,High,Medium,Marketing,68813.74757764515,No,Growth
Data Scientist,Entertainment,Large,Dubai,High,Medium,Sales,104261.22361853208,Yes,Decline
Marketing Specialist,Education,Small,Berlin,High,Medium,JavaScript,109202.77012959492,No,Decline
Data Scientist,Energy,Large,Tokyo,Low,Low,Data Analysis,65884.75743088922,No,Stable
Sales Manager,Technology,Large,Berlin,High,Medium,UX/UI Design,86379.87722680772,Yes,Decline
Marketing Specialist,Telecommunications,Large,Berlin,Medium,Low,Python,84511.1994578196,Yes,Decline
AI Researcher,Retail,Medium,Dubai,Medium,Low,JavaScript,94407.63165576068,Yes,Decline
AI Researcher,Technology,Medium,San Francisco,Low,Medium,Python,85901.52416451782,No,Growth
Cybersecurity Analyst,Energy,Large,New York,Medium,Medium,Sales,88642.44455854046,No,Stable
HR Manager,Technology,Large,London,Medium,Low,JavaScript,102836.31060483382,Yes,Stable
Data Scientist,Finance,Medium,Singapore,High,Medium,Machine Learning,67722.93800797733,Yes,Stable
Data Scientist,Retail,Medium,Berlin,Medium,Medium,Machine Learning,104747.46270521649,No,Stable
HR Manager,Energy,Small,Paris,Low,Medium,UX/UI Design,112822.65463062502,Yes,Decline
Product Manager,Education,Small,Tokyo,High,High,Python,122682.69986977737,Yes,Decline
Cybersecurity Analyst,Telecommunications,Medium,San Francisco,High,Low,Data Analysis,47132.65351725282,Yes,Growth
Product Manager,Transportation,Large,Berlin,Low,High,Sales,86341.96685769563,No,Stable
Product Manager,Energy,Large,San Francisco,High,Medium,Machine Learning,50697.98851292822,No,Decline
Product Manager,Healthcare,Large,San Francisco,High,High,Marketing,41298.72620454353,No,Decline
HR Manager,Telecommunications,Large,Berlin,Low,Medium,Project Management,92881.86095214957,No,Growth
Product Manager,Energy,Small,Sydney,High,High,Project Management,82016.96414299277,No,Growth
AI Researcher,Finance,Medium,Toronto,Low,Medium,Communication,95997.01903541492,No,Growth
Software Engineer,Transportation,Large,Paris,Low,High,Data Analysis,99722.55380174631,Yes,Decline
Sales Manager,Finance,Small,London,Medium,High,Project Management,114957.91916215842,No,Decline
Data Scientist,Transportation,Large,London,Medium,High,Communication,91078.4085061156,No,Growth
Data Scientist,Healthcare,Medium,Paris,High,Low,Python,148467.11234638176,Yes,Stable
Sales Manager,Telecommunications,Small,Sydney,High,High,Machine Learning,96128.19709970425,No,Growth
HR Manager,Education,Medium,London,Low,Low,Machine Learning,126849.58089134423,No,Growth
